,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0xd7b0c32be58a1717571c5769901d0c827f1ec52413d462d231adefb20345a54f,0xd9dfe3811684087e3d3306d2136e507423d86bbc,8888,0x0000000000000000000000000000000000000000,6169,2022-01-11T17:22:26
1,0xd7b0c32be58a1717571c5769901d0c827f1ec52413d462d231adefb20345a54f,0xd9dfe3811684087e3d3306d2136e507423d86bbc,8887,0x0000000000000000000000000000000000000000,4888,2022-01-11T17:22:26
2,0xd7b0c32be58a1717571c5769901d0c827f1ec52413d462d231adefb20345a54f,0xd9dfe3811684087e3d3306d2136e507423d86bbc,8886,0x0000000000000000000000000000000000000000,1900,2022-01-11T17:22:26
3,0x2ec67899d93fd5d3c97e91e8ba089a4705e44073a3af57be1d88d7a9b7633c13,0x41bd4fecb92d34a5b46e312a730f2656eaf35935,8885,0x0000000000000000000000000000000000000000,3267,2022-01-11T17:22:26
4,0x2ec67899d93fd5d3c97e91e8ba089a4705e44073a3af57be1d88d7a9b7633c13,0x41bd4fecb92d34a5b46e312a730f2656eaf35935,8884,0x0000000000000000000000000000000000000000,4238,2022-01-11T17:22:26
5,0x2ec67899d93fd5d3c97e91e8ba089a4705e44073a3af57be1d88d7a9b7633c13,0x41bd4fecb92d34a5b46e312a730f2656eaf35935,8883,0x0000000000000000000000000000000000000000,6439,2022-01-11T17:22:26
6,0xb91e69d28179c358879383e16a4190172934d13b17b063102d361a8b04e18366,0xd7d55f23a7836a5ee5d20f304c164463db02ff3d,8882,0x0000000000000000000000000000000000000000,6216,2022-01-11T17:22:26
7,0xb91e69d28179c358879383e16a4190172934d13b17b063102d361a8b04e18366,0xd7d55f23a7836a5ee5d20f304c164463db02ff3d,8881,0x0000000000000000000000000000000000000000,4151,2022-01-11T17:22:26
8,0xb91e69d28179c358879383e16a4190172934d13b17b063102d361a8b04e18366,0xd7d55f23a7836a5ee5d20f304c164463db02ff3d,8880,0x0000000000000000000000000000000000000000,4974,2022-01-11T17:22:26
9,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8879,0x0000000000000000000000000000000000000000,5263,2022-01-11T17:22:26
10,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8878,0x0000000000000000000000000000000000000000,3660,2022-01-11T17:22:26
11,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8877,0x0000000000000000000000000000000000000000,2713,2022-01-11T17:22:26
12,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8876,0x0000000000000000000000000000000000000000,7736,2022-01-11T17:22:26
13,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8875,0x0000000000000000000000000000000000000000,4697,2022-01-11T17:22:26
14,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8874,0x0000000000000000000000000000000000000000,1600,2022-01-11T17:22:26
15,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8873,0x0000000000000000000000000000000000000000,223,2022-01-11T17:22:26
16,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8872,0x0000000000000000000000000000000000000000,1457,2022-01-11T17:22:26
17,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8871,0x0000000000000000000000000000000000000000,8406,2022-01-11T17:22:26
18,0x1b958b6cacbbd774a3ece336384e840bc4edc639b7648bc6fdab8b8a25eacf49,0xf4faca935238f1f12ce0e5499a567946b8556a0b,8870,0x0000000000000000000000000000000000000000,2525,2022-01-11T17:22:26
19,0x2a58e5f3e4fdda9a69fd6e464761f7cc24096b6d4da569f1e6624ca180954d6a,0xfb726c2d9401c59601ed19d23a9f971e8409e4fb,8869,0x0000000000000000000000000000000000000000,2546,2022-01-11T17:22:26
20,0x2a58e5f3e4fdda9a69fd6e464761f7cc24096b6d4da569f1e6624ca180954d6a,0xfb726c2d9401c59601ed19d23a9f971e8409e4fb,8868,0x0000000000000000000000000000000000000000,6699,2022-01-11T17:22:26
21,0x2a58e5f3e4fdda9a69fd6e464761f7cc24096b6d4da569f1e6624ca180954d6a,0xfb726c2d9401c59601ed19d23a9f971e8409e4fb,8867,0x0000000000000000000000000000000000000000,778,2022-01-11T17:22:26
22,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8866,0x0000000000000000000000000000000000000000,5165,2022-01-11T17:22:26
23,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8865,0x0000000000000000000000000000000000000000,6007,2022-01-11T17:22:26
24,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8864,0x0000000000000000000000000000000000000000,7471,2022-01-11T17:22:26
25,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8863,0x0000000000000000000000000000000000000000,3124,2022-01-11T17:22:26
26,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8862,0x0000000000000000000000000000000000000000,3150,2022-01-11T17:22:26
27,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8861,0x0000000000000000000000000000000000000000,6957,2022-01-11T17:22:26
28,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8860,0x0000000000000000000000000000000000000000,3347,2022-01-11T17:22:26
29,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8859,0x0000000000000000000000000000000000000000,2126,2022-01-11T17:22:26
30,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8858,0x0000000000000000000000000000000000000000,5346,2022-01-11T17:22:26
31,0x0907c4e40bded027fbe7ca068864c2ff19b41a7e417e25c38e19bfca00b72b45,0x4a0d9e1aa64d284cfb211e38aadb14df96ca6b2a,8857,0x0000000000000000000000000000000000000000,5945,2022-01-11T17:22:26
32,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8856,0x0000000000000000000000000000000000000000,6518,2022-01-11T17:22:26
33,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8855,0x0000000000000000000000000000000000000000,6204,2022-01-11T17:22:26
34,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8854,0x0000000000000000000000000000000000000000,1945,2022-01-11T17:22:26
35,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8853,0x0000000000000000000000000000000000000000,5888,2022-01-11T17:22:26
36,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8852,0x0000000000000000000000000000000000000000,4927,2022-01-11T17:22:26
37,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8851,0x0000000000000000000000000000000000000000,8019,2022-01-11T17:22:26
38,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8850,0x0000000000000000000000000000000000000000,7653,2022-01-11T17:22:26
39,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8849,0x0000000000000000000000000000000000000000,324,2022-01-11T17:22:26
40,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8848,0x0000000000000000000000000000000000000000,5392,2022-01-11T17:22:26
41,0xde4bbc63290a48e5a16a056747192419b782a93efb4b18b514e08925c64b434c,0xcd78632982b1809d9cacf19e058b74988e1e2d0e,8847,0x0000000000000000000000000000000000000000,506,2022-01-11T17:22:26
42,0x984621dcc28f8ac93c53d36782fcab2b93450a705a79a7e10d286721f57ffbdc,0x52da0b1803a2bf99189e1c5102c59602a180a2a3,8846,0x0000000000000000000000000000000000000000,3590,2022-01-11T17:22:00
43,0x89cd7dd9233f4f3b4a80da9e0e63106acc9c5dea9533b4aa3a4956b09644e0f4,0x40a9ebb21b38482bb1830b559c75f0fa80e4dfa0,8845,0x0000000000000000000000000000000000000000,7251,2022-01-11T17:22:00
