,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9999,0x0000000000000000000000000000000000000000,2526,2019-08-04T09:39:05
1,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9998,0x0000000000000000000000000000000000000000,554,2019-08-04T09:39:05
2,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9997,0x0000000000000000000000000000000000000000,5229,2019-08-04T09:39:05
3,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9996,0x0000000000000000000000000000000000000000,447,2019-08-04T09:39:05
4,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9995,0x0000000000000000000000000000000000000000,1140,2019-08-04T09:39:05
5,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9994,0x0000000000000000000000000000000000000000,876,2019-08-04T09:39:05
6,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9993,0x0000000000000000000000000000000000000000,4104,2019-08-04T09:39:05
7,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9992,0x0000000000000000000000000000000000000000,3670,2019-08-04T09:39:05
8,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9991,0x0000000000000000000000000000000000000000,681,2019-08-04T09:39:05
9,0x9116284a816e5e94b377108c958c8bca13b18ad9155110603f67c0b9f4adadf8,0x9af756e7be065dca83674ec17f3703579a544da1,9990,0x0000000000000000000000000000000000000000,2436,2019-08-04T09:39:05
