,txid,to_account,TOKEN_ID,current_owner,rank,time
4997,0x8562b35c5e04b49a8e5199b90cf00e63c82b944c480b42c0aac4ce4344436c33,0x7f58558c099ee497abf2019eecf4a99116a44e62,1,0x7f58558c099ee497abf2019eecf4a99116a44e62,4712,2021-12-21T04:34:32
4995,0xefcd27f137e33d4be24ef7d60bf9420ab61e324c1eaa20e864eb544792f31697,0x7f58558c099ee497abf2019eecf4a99116a44e62,2,0xabf107de3e01c7c257e64e0a18d60a733aad395d,3455,2021-12-21T04:56:36
4996,0xefcd27f137e33d4be24ef7d60bf9420ab61e324c1eaa20e864eb544792f31697,0x7f58558c099ee497abf2019eecf4a99116a44e62,3,0xe7bd51dc30d4bdc9fddd42ea7c0a283590c9d416,385,2021-12-21T04:56:36
4994,0xefcd27f137e33d4be24ef7d60bf9420ab61e324c1eaa20e864eb544792f31697,0x7f58558c099ee497abf2019eecf4a99116a44e62,4,0xf546a894dd972e977fdf51f73c3580b8aba730aa,260,2021-12-21T04:56:36
4993,0x85972c40d2af51a4980ca8df2748a427bdf055f05ef0d6abb261de387fb00622,0x1e82e222564293e3507c2966b27f587ee2570671,5,0xf8846fd5d4e3b5964f0d3ef4bcacb62cf28c01f6,3348,2021-12-21T06:16:34
4992,0x85972c40d2af51a4980ca8df2748a427bdf055f05ef0d6abb261de387fb00622,0x1e82e222564293e3507c2966b27f587ee2570671,6,0x1e82e222564293e3507c2966b27f587ee2570671,4136,2021-12-21T06:16:34
4991,0xa930059ff309e9143edefb076f44cba577577745e2642900ef1bce1d003ce612,0x7f58558c099ee497abf2019eecf4a99116a44e62,7,0x3b3525f60eeea4a1ef554df5425912c2a532875d,4449,2021-12-21T13:54:26
4990,0x6ff599374c5f3c453bda5a09ead797964fef7166c9a11ea1288c9d08851ab6e6,0x050f2bdef3bbaaf19afc198e59e74c7bb7f4fb2a,8,0x050f2bdef3bbaaf19afc198e59e74c7bb7f4fb2a,4923,2021-12-22T01:08:23
4989,0x96c6cd1b2c5c455ea46711589097a483d7d8b843f9010c2dcb7f1ecc80fb5f76,0x7f58558c099ee497abf2019eecf4a99116a44e62,9,0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00,4926,2021-12-22T14:36:11
4988,0xc9bc0caaf308ba3cc8702ae602d3de9ceae63c6b18cd85e31d07c8a4ca9670d8,0x3b90c92c9f37bc37e8c3ce5e7b9be677e4766dc4,10,0x3b90c92c9f37bc37e8c3ce5e7b9be677e4766dc4,2150,2021-12-24T14:41:49
4987,0xd43d92f2b0876c5032c26218bed9546a1e7d88886fd772aafb501a58f9cdcce1,0xe97210bdc194aebac7b71f508c21d255741aab11,11,0xe97210bdc194aebac7b71f508c21d255741aab11,2498,2021-12-25T18:48:04
