,txid,to_account,TOKEN_ID,current_owner,rank,time
4524,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,1,0xc135026969aa9765055eae9da120491a1df649b8,2193,2021-12-22T05:27:07
4515,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,2,0xc135026969aa9765055eae9da120491a1df649b8,4369,2021-12-22T05:27:07
4510,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,3,0xc135026969aa9765055eae9da120491a1df649b8,2942,2021-12-22T05:27:07
4504,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,4,0xc135026969aa9765055eae9da120491a1df649b8,3338,2021-12-22T05:27:07
4527,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,5,0xc135026969aa9765055eae9da120491a1df649b8,962,2021-12-22T05:27:07
4526,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,6,0xc135026969aa9765055eae9da120491a1df649b8,3645,2021-12-22T05:27:07
4517,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,7,0xc135026969aa9765055eae9da120491a1df649b8,2380,2021-12-22T05:27:07
4528,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,8,0xc135026969aa9765055eae9da120491a1df649b8,2123,2021-12-22T05:27:07
4518,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,9,0xc135026969aa9765055eae9da120491a1df649b8,994,2021-12-22T05:27:07
4511,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,10,0xc135026969aa9765055eae9da120491a1df649b8,3814,2021-12-22T05:27:07
4509,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,11,0x03938c5016d87c28e2ef624c605e08cb356cb2e7,2486,2021-12-22T05:27:07
4529,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,12,0xfcf783ead8a5e7d472b152e7bf2e5765ebdd4edf,1049,2021-12-22T05:27:07
4519,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,13,0x54c2b3a3ce60fe644fec47bd225c69044c4defbe,2072,2021-12-22T05:27:07
4520,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,14,0x93ffebd42e407cb78831bdeba916cc778d6553f1,1709,2021-12-22T05:27:07
4521,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,15,0xa5fd8aa778a554a88ecf80d5545a59d1892ff3df,2201,2021-12-22T05:27:07
4522,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,16,0x8ca919b82c4e826dbfc940b103681a1e8dd03425,3494,2021-12-22T05:27:07
4512,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,17,0xa68c1331bc465cfa7fb60bbdd17f4bb57510f9f4,1426,2021-12-22T05:27:07
4525,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,18,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,1318,2021-12-22T05:27:07
4506,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,19,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,2433,2021-12-22T05:27:07
4513,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,20,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,3671,2021-12-22T05:27:07
4514,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,21,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,2646,2021-12-22T05:27:07
4516,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,22,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,667,2021-12-22T05:27:07
4508,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,23,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,4190,2021-12-22T05:27:07
4531,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,24,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,3593,2021-12-22T05:27:07
4523,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,25,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,4285,2021-12-22T05:27:07
4507,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,26,0xab09512f2136d2faa07c2a5f9e8fec3df8fa8b3c,2185,2021-12-22T05:27:07
4505,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,27,0x8364a7c2ce9702f509f6469fb52d3417ace0fc3f,2701,2021-12-22T05:27:07
4530,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,28,0xc135026969aa9765055eae9da120491a1df649b8,1269,2021-12-22T05:27:07
4532,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,29,0xc79108a7151814a77e1916e61e0d88d5ea935c84,489,2021-12-22T05:27:07
4503,0x73175052d04eb04d0f1746c9888dae40aee2e22468e090b803d0184e7dae0aae,0xc135026969aa9765055eae9da120491a1df649b8,30,0xc79108a7151814a77e1916e61e0d88d5ea935c84,4091,2021-12-22T05:27:07
4498,0x9478b5a57b2b68822760727a782216121b1f94daf3f9f01bdd604306c378e40d,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,31,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,1623,2021-12-22T15:34:19
4494,0x9478b5a57b2b68822760727a782216121b1f94daf3f9f01bdd604306c378e40d,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,32,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,4000,2021-12-22T15:34:19
4492,0x9478b5a57b2b68822760727a782216121b1f94daf3f9f01bdd604306c378e40d,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,33,0x2f5b432e29c3b4866f9b6e96484b28fda04addc7,2115,2021-12-22T15:34:19
4495,0xd0cd7ca25d0c97b107cd5a0f2972c20ccecef1625a2b6b32f9ad5165ab580ef9,0x48aaf47625e6dd2bb97b4745e070464bcaf185ae,34,0x39e677d7e76626cc2e79bbe79da1aeeb5e2fb9f3,2664,2021-12-22T15:34:19
4496,0xd0cd7ca25d0c97b107cd5a0f2972c20ccecef1625a2b6b32f9ad5165ab580ef9,0x48aaf47625e6dd2bb97b4745e070464bcaf185ae,35,0x27ded67d88c0da8c6b0fb0f7c78d87926d71119a,1320,2021-12-22T15:34:19
4493,0xd0cd7ca25d0c97b107cd5a0f2972c20ccecef1625a2b6b32f9ad5165ab580ef9,0x48aaf47625e6dd2bb97b4745e070464bcaf185ae,36,0x6beef2b2fe00fddca12a8cda2d4b00435b0ba3b6,2632,2021-12-22T15:34:19
4502,0x0e6ceb060b3c8e720aa3e8da6e3176c1e1e12222117512da0fec25579981f285,0x49669e15f418debf2facc57c9539ba5a6bfeae0e,37,0xf4fc2ca50bb99e7f124503fae6bb7976bf8188a7,2722,2021-12-22T15:34:19
4499,0x0e6ceb060b3c8e720aa3e8da6e3176c1e1e12222117512da0fec25579981f285,0x49669e15f418debf2facc57c9539ba5a6bfeae0e,38,0xafbe89f1447a22684a4e3f1f4f941806c6d02e85,2427,2021-12-22T15:34:19
4491,0x0e6ceb060b3c8e720aa3e8da6e3176c1e1e12222117512da0fec25579981f285,0x49669e15f418debf2facc57c9539ba5a6bfeae0e,39,0x17e508a188fe169085b5f1550fcc663a9879b8b1,1514,2021-12-22T15:34:19
4497,0x6a5ac058d99b8473275fb2500100b690199101389ae9fb55222629816dc564bf,0xeb0f937ccdd115fc54f2a2a3636dfc23196c3635,40,0xeb0f937ccdd115fc54f2a2a3636dfc23196c3635,4135,2021-12-22T15:34:19
4500,0x6a5ac058d99b8473275fb2500100b690199101389ae9fb55222629816dc564bf,0xeb0f937ccdd115fc54f2a2a3636dfc23196c3635,41,0x4c939ade7c767c1d6d753d3765162eef40f3af1e,4108,2021-12-22T15:34:19
4501,0x6a5ac058d99b8473275fb2500100b690199101389ae9fb55222629816dc564bf,0xeb0f937ccdd115fc54f2a2a3636dfc23196c3635,42,0xeb0f937ccdd115fc54f2a2a3636dfc23196c3635,4320,2021-12-22T15:34:19
4485,0x586c37fe0e86e5da38c3b0f79122f39fefba06d2806cd41828e9166499332c76,0xa71550733229e64f0990fb81a5f0f254b7cb2f1d,43,0xa71550733229e64f0990fb81a5f0f254b7cb2f1d,4067,2021-12-22T15:34:28
4490,0x586c37fe0e86e5da38c3b0f79122f39fefba06d2806cd41828e9166499332c76,0xa71550733229e64f0990fb81a5f0f254b7cb2f1d,44,0xa71550733229e64f0990fb81a5f0f254b7cb2f1d,3239,2021-12-22T15:34:28
4486,0xca648c117e269f6d1f3a1a08514cc11efc6477d638f36a8ffd1798f6b3ef4457,0xf621a5becf97b0c450799f38321f66a7cfaee3cc,45,0xf621a5becf97b0c450799f38321f66a7cfaee3cc,496,2021-12-22T15:34:28
4488,0xefa42a168d8ea0609300dece6932201ae7aa7d40fe2127b6d6bf08e5b03c7ab1,0xffe664a1623c4381c84d6f96f735dde858e9396f,46,0x287b2c532a1aecea8e96e6598e68207eb2c5f805,2620,2021-12-22T15:34:28
4487,0xefa42a168d8ea0609300dece6932201ae7aa7d40fe2127b6d6bf08e5b03c7ab1,0xffe664a1623c4381c84d6f96f735dde858e9396f,47,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,893,2021-12-22T15:34:28
4489,0xefa42a168d8ea0609300dece6932201ae7aa7d40fe2127b6d6bf08e5b03c7ab1,0xffe664a1623c4381c84d6f96f735dde858e9396f,48,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,567,2021-12-22T15:34:28
4456,0xa043de26599e23a18e786a964d0b2dec5a4d687990fdea68d7ca35d39a1e5afe,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,49,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,2570,2021-12-22T15:34:30
4441,0xa043de26599e23a18e786a964d0b2dec5a4d687990fdea68d7ca35d39a1e5afe,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,50,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,54,2021-12-22T15:34:30
4436,0xa043de26599e23a18e786a964d0b2dec5a4d687990fdea68d7ca35d39a1e5afe,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,51,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,982,2021-12-22T15:34:30
4415,0xf86f1abb695059e952bd04d798584550a2ecad000d33e8f24bfd26bab83e1c8a,0x56a22e5f6483169658131224365b46317e9f2174,52,0x8b2b0a40d76d71d9bce221e95c623b6e8a2ae95e,2510,2021-12-22T15:34:30
4423,0xf86f1abb695059e952bd04d798584550a2ecad000d33e8f24bfd26bab83e1c8a,0x56a22e5f6483169658131224365b46317e9f2174,53,0xe51ff9ef0cb02a8715729de3da80e0f438033b14,1743,2021-12-22T15:34:30
4437,0xf86f1abb695059e952bd04d798584550a2ecad000d33e8f24bfd26bab83e1c8a,0x56a22e5f6483169658131224365b46317e9f2174,54,0xf2792833150120d15764c83d77592a57973988b3,2068,2021-12-22T15:34:30
4457,0xe7c0873330cf79998b5301d32cd97c05a11be6e190e442c31aad1cf1d02feefc,0xf0753b791d9afa14e4f0963c2f9b603282d593fd,55,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,1918,2021-12-22T15:34:30
4407,0xe7c0873330cf79998b5301d32cd97c05a11be6e190e442c31aad1cf1d02feefc,0xf0753b791d9afa14e4f0963c2f9b603282d593fd,56,0x2837956eff3814918bd4708efcf092f9db806e7a,145,2021-12-22T15:34:30
4446,0xe7c0873330cf79998b5301d32cd97c05a11be6e190e442c31aad1cf1d02feefc,0xf0753b791d9afa14e4f0963c2f9b603282d593fd,57,0x9d4cb49da5e7341d8982101c29e3903f5ef4d382,3578,2021-12-22T15:34:30
4401,0x93330df80040eb250335b13b8b529bc23ee21898a425dceafa35a0ddbb6deb37,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,58,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,89,2021-12-22T15:34:30
4414,0x93330df80040eb250335b13b8b529bc23ee21898a425dceafa35a0ddbb6deb37,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,59,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,2179,2021-12-22T15:34:30
4417,0x93330df80040eb250335b13b8b529bc23ee21898a425dceafa35a0ddbb6deb37,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,60,0x6829b3be1c0c14b292549e1f2d1224764c1bdd4e,754,2021-12-22T15:34:30
4402,0xcda60fa3ee9c13fae9f2dce846e6334b493e8f19f64498c3af746c3b91c67067,0xab906639403b15510a8d5e0318a590da66465268,61,0xec31188469b1de4d0070a375ca69078c15c18bec,2425,2021-12-22T15:34:30
4450,0xcda60fa3ee9c13fae9f2dce846e6334b493e8f19f64498c3af746c3b91c67067,0xab906639403b15510a8d5e0318a590da66465268,62,0x2da86b5ab90c4966090fee837d00a58cb3610e5d,4254,2021-12-22T15:34:30
4442,0xcda60fa3ee9c13fae9f2dce846e6334b493e8f19f64498c3af746c3b91c67067,0xab906639403b15510a8d5e0318a590da66465268,63,0x5fcd863b665e91e0cdabcc636905fb4d516efb0e,2959,2021-12-22T15:34:30
