,txid,to_account,TOKEN_ID,current_owner,rank,time
7659,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,0,0x17082a8fbae3c10d73a361f218ae77bafb62bf4d,1,2021-07-26T19:53:34
7660,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,1,0x574a782a00dd152d98ff85104f723575d870698e,5,2021-07-26T19:53:34
7661,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,2,0x17082a8fbae3c10d73a361f218ae77bafb62bf4d,2,2021-07-26T19:53:34
7662,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,3,0xe5193d2be4d4819f717092afc95e806f09a79964,3,2021-07-26T19:53:34
7663,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,4,0x17082a8fbae3c10d73a361f218ae77bafb62bf4d,4,2021-07-26T19:53:34
7664,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,5,0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,6164,2021-07-26T19:53:34
7665,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,6,0x81aeb18677c608c05e9c4848320cad9a2a7fa196,6186,2021-07-26T19:53:34
7666,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,7,0xdcfe7ecb16e9a1fd69b4aff054a478f93c41635f,251,2021-07-26T19:53:34
7667,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,8,0x313f4db3ac1977978fa384084f49840d2be826b1,176,2021-07-26T19:53:34
7668,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,9,0xddf14fa3e1bf3881cd6ec491f0ccf3d1389a78d4,3926,2021-07-26T19:53:34
7669,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,10,0xbf6255234f83717c95064a775666ae88cab97a2f,7655,2021-07-26T19:53:34
7670,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,11,0x7c0d2f1eb3dc2cc21d6118789d26f2db09311b1d,2535,2021-07-26T19:53:34
7671,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,12,0xb0263c374d0b01776101a2a64073410214d587b7,623,2021-07-26T19:53:34
7672,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,13,0xb0263c374d0b01776101a2a64073410214d587b7,1013,2021-07-26T19:53:34
7673,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,14,0xdfe279c336e767beb9fb1c19c1695e2000a2c720,1896,2021-07-26T19:53:34
7674,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,15,0x9966a2d866a5df116cd83596c6d9ecaf4c662a07,908,2021-07-26T19:53:34
7675,0x092370ea2f30acdd144a94a559873a54fb2fdc931605df16c30213939ae0968f,0xb0263c374d0b01776101a2a64073410214d587b7,16,0x927e093b623f90a0311c03009aa1d1df4cf08634,448,2021-07-26T19:53:34
