,txid,to_account,TOKEN_ID,current_owner,rank
9999,0x707ddf3cf99eab8f74136724d3a6577d1ea634dc5163e75037b709089ac0faed,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,0,0x5115c67f5621440fd8413cdad36fdf89b8ac4c01,3984
9997,0x5df39622c710985e6e06347282224a19216d203047e4e40c6b8e6b7213fd1e68,0x9ba99dd17ce1fced54bc1ab09cac68a8cd1fc210,1,0x9ba99dd17ce1fced54bc1ab09cac68a8cd1fc210,2575
9998,0x5f254a492a9c32edfea8e5ec6c79c735aab02c8876d1bffc442c898f1f17694f,0x8c2e67bd3d0f432ef75d9ae6623cd0dfbce66050,2,0x8c2e67bd3d0f432ef75d9ae6623cd0dfbce66050,2780
9996,0x60703a57cf7d5da86bea948ee7eddfe037ffe4033e2c96d0055597b08574063c,0xed034b287ea77a14970f1c0c8682a80a9468dbb3,3,0xed034b287ea77a14970f1c0c8682a80a9468dbb3,5157
9995,0xe0e9dbec60042cdbb53a41b1b24068c34b711229aca8284e489cb486d575abb6,0xececcb0dbaadb9be687f2602ef55305bc56837b1,4,0xececcb0dbaadb9be687f2602ef55305bc56837b1,2307
9994,0x08992b3893f102841746e2f7a3d8a64f8f64d7ded2a1d59ea26694edda07ea90,0x8c2e67bd3d0f432ef75d9ae6623cd0dfbce66050,5,0x8c2e67bd3d0f432ef75d9ae6623cd0dfbce66050,8431
9993,0x4dde9460455dcb467ebd7dc8c534e7814f21834e49ea2b8a5d6e07eab518560f,0xd81ce8e89dd987c8ab630858c8f1e9df14788c35,6,0x41f28a84698d20a95966adb27214b732155df3a9,7993
9992,0x81ed78ccfa2f2401c7c745a21542b815a7b41322431b0935b44bcd935923e7fe,0xececcb0dbaadb9be687f2602ef55305bc56837b1,7,0xececcb0dbaadb9be687f2602ef55305bc56837b1,9454
9991,0x508e9f7525b1903b228e27e85067bd7130af74d6a2e2f69ffccd45b41bb4f716,0x5470a0ad35a6066fdd1b47d18b6bb04bffb9f59a,8,0x5470a0ad35a6066fdd1b47d18b6bb04bffb9f59a,3744
9988,0x8f623d9cb0cecb64b87102ba4544277be02c31128127b1911a8c7d2854931ea2,0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed,9,0x41f28a84698d20a95966adb27214b732155df3a9,9215
9989,0xa0e1bba70a23d3645dea8abfbbac01c502f503bf750eaa6e29f81abbef353072,0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed,10,0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed,1744
9990,0x9d55871e64f7a2eb8dfe85d404922d0b360b9eaf7c1f5eeb4b96e11041e60af9,0x38f3abdc6c8b981cfced1107136502b2fe82e9f6,11,0x38f3abdc6c8b981cfced1107136502b2fe82e9f6,1333
9986,0xecac83ebdfd2e3b60024e54ad084dbc8cc44e7e3afb569507663d90045c1dc9c,0x9ba99dd17ce1fced54bc1ab09cac68a8cd1fc210,12,0x9ba99dd17ce1fced54bc1ab09cac68a8cd1fc210,6311
9987,0xcfd1ff3a15a48ba800df5f17aef0171845e4078ffa7daedcc6617ddeecadba8a,0x34805e6a3796fb04e82183667a78c2f7bff29170,13,0x34805e6a3796fb04e82183667a78c2f7bff29170,539
9985,0x2684c41eccfa20bdc2e27b81498bc115593a072646a3237438d0acafdef39ab0,0x6305e1ac90be03abc2c7a0866d51e46562247d1f,14,0x765647da4439291f3554c3bf96567f51ff6ce187,5899
9984,0x109f45336d63bb468b3e47654a62d7133e8e0c575d305f262306d1eb9cfe1f35,0x64d18532f07855920ab624de8d2a8a365f365e5b,15,0x64d18532f07855920ab624de8d2a8a365f365e5b,8018
9983,0x85c96af65cc1eeb41f2ecfff37cbe6df7079af1d3ac3d2c1feb7d7c6f553d762,0x662127bf82b794a26b7ddb6b495f6a5a20b81738,16,0x39f1a300727df5ef730567aacb2f3820130bbcd1,744
9982,0x4ffa10a20d8b53d13a0cb26913f6ae44be5ecfad15c5290877f1b0a68afedbce,0x6a89560c4acd7100a8bf099819d213261865a346,17,0x6a89560c4acd7100a8bf099819d213261865a346,8845
9981,0x3a984769a08c3c162ec56d9d368e50d3d2327ffb7c9f867b3110f82edd5d5e6d,0x2f26ae0568bd651318849c18f9bc6776629d3bda,18,0x7314b647668c32ddfdfb8a31b5ea802a82c2a008,2655
9980,0xefe118c0d9d802ce167abe091e0e88433f9312339b9795b5ff0c696ada46921d,0xf15784b9827beb2c9ede0aeee8335ff9dd51cd63,19,0x5c35046b6d3440d9784d279aae33b04a9a691be1,9217
9979,0x54fba1ef2e06deba0a51a2daa5e08439ee211d088d2828b0cc08d787166e62d1,0xcac8f01e56b49f1d44cc9a2badfe381d425606ed,20,0xcac8f01e56b49f1d44cc9a2badfe381d425606ed,3689
9978,0x5a17ec5c88f4dd8fa133c4d9f143c920aaaa1462ea37d64359a546489a0950be,0xa8331df4b8cba20daa0b0b0612ad4aa6f96c6ff7,21,0xa8331df4b8cba20daa0b0b0612ad4aa6f96c6ff7,4236
9977,0x5af527203e3bbb3d5626388566eb66a263caed274a93f8f901f8a5e3d12ccc56,0x362bd304c2ada2e096d6d1cab8f909398e7ef5fe,22,0x58455ce1738127efd2f900ae4bae6c24b0c04818,7766
9976,0x0b4fa571133d07455e630da51643106a38c4bd333f9a1c9c898e7863ef5b30dc,0xbcb891fc47d2137f8565e72b9dc5abfed7a3a348,23,0xea253aa1737ca26099a169e6310b95ba42cf0a7e,3542
9975,0x63dcced2beb1e7196767d2a0b4a264c08d56c916ddf4f9c74a76daf31a3af082,0xbcb891fc47d2137f8565e72b9dc5abfed7a3a348,24,0x725315106f037b1ee74faed559b021eb5c9988ce,8358
9974,0x2f1671e1037bf2a34efbac9146e42c05bfe56fbffa97758b1e1910f1ad1017ff,0x5e11534344b8c1fda947b37dc57b8734232a6b1c,25,0x7bb9fae52a204b343fa3744af2dfeb44f3b848d5,8724
9973,0xc1d30e618dea1f5047b6513ae16eb057584db30feab9462b4ed7191cf2fd2676,0xb60b778c0ea29cfa65a197efe1bd7134e57bcbd5,26,0x987d1e48be6e381169ffb875f02ee4b6443ad2e2,1771
9972,0xb89b3da683e8130136ea2ac09521ee0543fd6597ebdc0337357902806e6ceecc,0x852222d72fd4233f81545ca0a805b85d91b1ef68,27,0x1b020544d1090ac87d41a4e4ec0f16f41c3a8fd3,7068
9956,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,28,0xd1978e0339cae8074a99038827bb8d8e83411f47,245
9957,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,29,0xbb03ab3f2c98ae17ae47c100b89e143f0d22ba34,9295
9958,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,30,0xf7764568b698e5954892c00ed7d9a390b105c5f7,5418
9959,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,31,0xdc2ee6c3d07a0bce704a572020f35dd9ff2ae246,5074
9960,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,32,0xcac8f01e56b49f1d44cc9a2badfe381d425606ed,8344
9953,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,33,0x45602bfba960277bf917c1b2007d1f03d7bd29e4,5264
9961,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,34,0x28b265d482d22921da7d6f8d8723c23b54490372,9921
9962,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,35,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,6479
9963,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,36,0xb0734f45fc95670296f93bed9942702a459da23f,2251
9964,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,37,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,9288
9965,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,38,0x460e274f7193627366ce3384af447ad1e0419898,5121
9966,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,39,0x1ecd31e8fe6f783274f1e4f347b50945b4dbbe0d,3481
9967,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,40,0x6db5e720a947c7cc2f3fcad4cf5058402fc456c6,6775
9968,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,41,0x1b020544d1090ac87d41a4e4ec0f16f41c3a8fd3,2098
9969,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,42,0xe2093c33581e612eea99d3d1b651d314641305f4,2444
9954,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,43,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,2553
9970,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,44,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,8556
9955,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,45,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,6500
9971,0x2203646d5ddc949b9dfd22e23ba6ea453b3753ffac3002982996e6b805254d76,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,46,0xc9b6321dc216d91e626e9baa61b06b0e4d55bdb1,4997
9950,0x75daa1aef4c10fde5f5e8699a96b062d4f1458f4baa2bc6a9aa12c980da5c51c,0xde6098882888e7cc081bc2ce12354eabc762f4f3,47,0x85538ef285772e0922ed8330bc610759e4295445,7446
9951,0x39fa0ad4963d86eedf4ebb2a16a9cd87bcaca8c1eec00f142ca13fe1bd4e9e71,0xbd152acfa5f810cba903c2efe7074be88e335f50,48,0xbd152acfa5f810cba903c2efe7074be88e335f50,9339
9952,0x39fa0ad4963d86eedf4ebb2a16a9cd87bcaca8c1eec00f142ca13fe1bd4e9e71,0xbd152acfa5f810cba903c2efe7074be88e335f50,49,0xbd152acfa5f810cba903c2efe7074be88e335f50,8626
9941,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,50,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,6553
9942,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,51,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,3409
9943,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,52,0x41f28a84698d20a95966adb27214b732155df3a9,5735
9944,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,53,0xf09b11d00aef67bbfa65c6a637d136f6a834a98e,2324
9945,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,54,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,6807
9946,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,55,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,4396
9947,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,56,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,5197
9948,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,57,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,4752
9940,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,58,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,4647
9949,0xa5547046953235c7bcba91f26764de46ee69901fefb1f882f10766ff15a8d14b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,59,0x22925707d59f89c2edf103b79436fce932d559eb,4472
9922,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,60,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,8297
9923,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,61,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,2495
9924,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,62,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,2406
9925,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,63,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,9863
9926,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,64,0x4e84a91a450aeef23f0670fb486d55b1d85a8dd0,1392
9927,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,65,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,2377
9928,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,66,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,9078
9929,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,67,0xfa3949fde585114b8ec981eb6aae3c232c832fc2,1959
9920,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,68,0xadea5bd7cd91974d02777d8b8537dab5654d7267,32
9921,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,69,0x6ed75480cc456f361beaead19dca760b52dbff8b,7613
9930,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,70,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,6211
9931,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,71,0x546e97e67bf162fbe3e727ee77e6d7b4c17f9ce7,5347
9932,0x26d7dc4ce764b11b79340b65183db1409a237183b82156f8bb02737e62f45c9b,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,72,0x0b8f4c4e7626a91460dac057eb43e0de59d5b44f,9689
