,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0xc79083f9245140921bdc60e569f39f5ae9f9688bf3297cf8f0dba7a7e0f27dd3,0xab396c44fc8040441b496bf460b6d538c0cbd862,1972,0x0000000000000000000000000000000000000000,998,2022-01-13T20:42:17
1,0x3abe8384bd8781b7630097f82c3a3f55fa91d6959f1ef266e8812b26e4164260,0x030eaddf49c1660401aac999abe946b209c3c9c1,1971,0x0000000000000000000000000000000000000000,796,2022-01-13T20:42:15
2,0x3abe8384bd8781b7630097f82c3a3f55fa91d6959f1ef266e8812b26e4164260,0x030eaddf49c1660401aac999abe946b209c3c9c1,1970,0x0000000000000000000000000000000000000000,1123,2022-01-13T20:42:15
3,0xe4385996aa3bc807d97a48bfa9494fdc7fb8c069324c27de5d8411ed909d1cc7,0xbdf0668285871d96d96e8c60ea747fd79746fbe3,1969,0x0000000000000000000000000000000000000000,192,2022-01-13T20:40:45
4,0x76bd7d6fba78b0c22234bdb69fc7181b10847ad7b230054225b785b51f4b5993,0xfc2a289734e0b6bcdece2fc1d7fa79e35db9d4d2,1968,0x0000000000000000000000000000000000000000,1423,2022-01-13T20:39:06
5,0x76bd7d6fba78b0c22234bdb69fc7181b10847ad7b230054225b785b51f4b5993,0xfc2a289734e0b6bcdece2fc1d7fa79e35db9d4d2,1967,0x0000000000000000000000000000000000000000,320,2022-01-13T20:39:06
6,0xfdde4badcb04460fb0708017fb46d76a4f911fb6718566b35963e4e301472438,0x902614097ce51999514716e94a4870bfa2e6f311,1966,0x0000000000000000000000000000000000000000,1749,2022-01-13T20:37:22
7,0xb470f417a7f7df3fcacf4f668d8b9bff492b9c730073ffb67b340a41e9fb545a,0x63996149c98a298fd2e77d5d5f71558ac53963c7,1965,0x0000000000000000000000000000000000000000,1970,2022-01-13T20:37:22
8,0xb470f417a7f7df3fcacf4f668d8b9bff492b9c730073ffb67b340a41e9fb545a,0x63996149c98a298fd2e77d5d5f71558ac53963c7,1964,0x0000000000000000000000000000000000000000,833,2022-01-13T20:37:22
9,0xb470f417a7f7df3fcacf4f668d8b9bff492b9c730073ffb67b340a41e9fb545a,0x63996149c98a298fd2e77d5d5f71558ac53963c7,1963,0x0000000000000000000000000000000000000000,992,2022-01-13T20:37:22
10,0x78c4ea7eaf488a6a3f9201c3e8b29d467d417422b4e8cb84b73ab18064e4ccfa,0xc316f415096223561e2077c30a26043499d579ad,1962,0x0000000000000000000000000000000000000000,1695,2022-01-13T20:37:22
11,0x3bfb7a796cb0189b4e7018eade2a305ea1d3bf458fb1d8b7a87f440f7c92b18e,0x9a403a43448c396d5f75d7cd3dff12c610e16d8b,1961,0x0000000000000000000000000000000000000000,787,2022-01-13T20:36:44
12,0xa15330a1e82b08897301b4a58ec9a8658fd969f088b8803a831884b8c3d55c27,0x7d78dc8024b764d2efab6c2257de7f22a3fffa7c,1960,0x0000000000000000000000000000000000000000,1016,2022-01-13T20:36:38
13,0xa15330a1e82b08897301b4a58ec9a8658fd969f088b8803a831884b8c3d55c27,0x7d78dc8024b764d2efab6c2257de7f22a3fffa7c,1959,0x0000000000000000000000000000000000000000,42,2022-01-13T20:36:38
14,0xa15330a1e82b08897301b4a58ec9a8658fd969f088b8803a831884b8c3d55c27,0x7d78dc8024b764d2efab6c2257de7f22a3fffa7c,1958,0x0000000000000000000000000000000000000000,590,2022-01-13T20:36:38
15,0x23d3558eb2a263ab450cd2827acf0b5ba5124816f404afbfb2d115f2687a4f45,0x337ba0f634604d45252dcf9033f95853ec45a4dc,1957,0x0000000000000000000000000000000000000000,485,2022-01-13T20:35:21
16,0x480517e01703f7569810b0488d6125ae249188358911d9759a028d3104bc8c96,0x4c8c38b71e200cee7101e034bd60907532411970,1956,0x0000000000000000000000000000000000000000,1765,2022-01-13T20:34:43
17,0xb26964ede5a413b4efb2f3403ae0a6e78c6206212d24eb2f3e2119fae1e077ad,0x7a9d9573b33496353fc6618c1999c36cbba9561a,1955,0x0000000000000000000000000000000000000000,1180,2022-01-13T20:34:21
18,0xb26964ede5a413b4efb2f3403ae0a6e78c6206212d24eb2f3e2119fae1e077ad,0x7a9d9573b33496353fc6618c1999c36cbba9561a,1954,0x0000000000000000000000000000000000000000,1417,2022-01-13T20:34:21
19,0x14b9a62ed0319b4a4af65644c4bf318667e8f2afbba318c28522f8284422965d,0x25a940bc0cdf97b7a5ba9c76b6b048153f8ee247,1953,0x0000000000000000000000000000000000000000,1972,2022-01-13T20:34:21
20,0x14b9a62ed0319b4a4af65644c4bf318667e8f2afbba318c28522f8284422965d,0x25a940bc0cdf97b7a5ba9c76b6b048153f8ee247,1952,0x0000000000000000000000000000000000000000,1903,2022-01-13T20:34:21
