,txid,to_account,TOKEN_ID,current_owner,rank,time
5102,0x1a3ba318c92ca7f363d63929a01eedc3e557874745e963ee6d9fcfdc79f88f46,0x106afec5af1fa849bb1059377b69582513eeaafd,0,0x106afec5af1fa849bb1059377b69582513eeaafd,5025,2021-09-08T20:33:07
5100,0x3e2742efd6b3d667d086626e594efc46d96dd23679ff7071cc4a1b33a40b64d2,0x60fa416ccd04b3e883f45b28c43ca66aab21129f,1,0x60fa416ccd04b3e883f45b28c43ca66aab21129f,9873,2021-09-08T20:33:39
5101,0x3e2742efd6b3d667d086626e594efc46d96dd23679ff7071cc4a1b33a40b64d2,0x60fa416ccd04b3e883f45b28c43ca66aab21129f,2,0x60fa416ccd04b3e883f45b28c43ca66aab21129f,1887,2021-09-08T20:33:39
5080,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,3,0x6db844c3425031d2ac1b98a68e6561e32e2b7ec4,1896,2021-09-08T20:35:58
5081,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,4,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,3804,2021-09-08T20:35:58
5082,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,5,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,3135,2021-09-08T20:35:58
5083,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,6,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,1860,2021-09-08T20:35:58
5084,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,7,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8570,2021-09-08T20:35:58
5085,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,3137,2021-09-08T20:35:58
5086,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,9,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,4761,2021-09-08T20:35:58
5087,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,10,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8571,2021-09-08T20:35:58
5088,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,11,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8572,2021-09-08T20:35:58
5089,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,12,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,4773,2021-09-08T20:35:58
5090,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,13,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,898,2021-09-08T20:35:58
5091,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,14,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,6679,2021-09-08T20:35:58
5092,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,15,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,5842,2021-09-08T20:35:58
5093,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,16,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8573,2021-09-08T20:35:58
5094,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,17,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8574,2021-09-08T20:35:58
5095,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,18,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,8575,2021-09-08T20:35:58
5096,0xf4bc1b7bf044bfaad75bf04159a57d2f248191b68d8996c718476a051d621827,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,19,0x34cdc0fcd1cf7b96479203085c4dad032cfe92f1,6678,2021-09-08T20:35:58
