,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0x98dc69b027b2fafa2b40223c1e964f07e5fa4b6e6211cb280661948280c5cb0e,0xc717063f994e7f9a73dc7d292a7e28e30bb8913c,3333,0x0000000000000000000000000000000000000000,246,2022-01-02T11:42:37
1,0x6d1a0f2146e246ae31561a2e974db5283e81a1de6f191adece924792d9f20902,0x0f34e9ec6971ebb89ebab75e9fd194ac6295a194,3332,0x0000000000000000000000000000000000000000,259,2022-01-02T11:42:37
2,0x6d1a0f2146e246ae31561a2e974db5283e81a1de6f191adece924792d9f20902,0x0f34e9ec6971ebb89ebab75e9fd194ac6295a194,3331,0x0000000000000000000000000000000000000000,1196,2022-01-02T11:42:37
3,0x1cc38953c89e9ae083ea0ac68e583ebd3ac2417ed490648f785aaea4977f9250,0x794a4ecb6c0f7ba28058a1aaad1154baadcd518c,3330,0x0000000000000000000000000000000000000000,1468,2022-01-02T11:42:37
4,0xe8c59cbff73b54a47a9bb2a0b28f2ba50a7276d2ae351da440357d8122aa0349,0x794a4ecb6c0f7ba28058a1aaad1154baadcd518c,3329,0x0000000000000000000000000000000000000000,1318,2022-01-02T11:42:37
5,0xfd84cc03dac6f76e5e3176b800258787ef29afc51ed55f290ea97c621b01919b,0x5e43bdfca1f1e5857d85b1a52302f99ef0b4d501,3328,0x0000000000000000000000000000000000000000,3227,2022-01-02T11:42:37
6,0xfd84cc03dac6f76e5e3176b800258787ef29afc51ed55f290ea97c621b01919b,0x5e43bdfca1f1e5857d85b1a52302f99ef0b4d501,3327,0x0000000000000000000000000000000000000000,2257,2022-01-02T11:42:37
7,0xfd84cc03dac6f76e5e3176b800258787ef29afc51ed55f290ea97c621b01919b,0x5e43bdfca1f1e5857d85b1a52302f99ef0b4d501,3326,0x0000000000000000000000000000000000000000,797,2022-01-02T11:42:37
8,0xfd84cc03dac6f76e5e3176b800258787ef29afc51ed55f290ea97c621b01919b,0x5e43bdfca1f1e5857d85b1a52302f99ef0b4d501,3325,0x0000000000000000000000000000000000000000,2466,2022-01-02T11:42:37
9,0xfd84cc03dac6f76e5e3176b800258787ef29afc51ed55f290ea97c621b01919b,0x5e43bdfca1f1e5857d85b1a52302f99ef0b4d501,3324,0x0000000000000000000000000000000000000000,3045,2022-01-02T11:42:37
10,0x490a2bb1b6acea2005d78d5c6c36561fa3dc7ffaf593d280afce2e9649a68332,0x230f0e382372088c17e32c52673e540580493e8f,3323,0x0000000000000000000000000000000000000000,1674,2022-01-02T11:42:37
