,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0x6b31c072614bb0da6f5daf58ed1e41fa96f43779a48937a3e1296aee7905696a,0x30a8e38fbd9e778ddac2a4a02cd8129bb50bba8a,15777,0x0000000000000000000000000000000000000000,3728,2021-09-05T17:07:15
1,0x6b31c072614bb0da6f5daf58ed1e41fa96f43779a48937a3e1296aee7905696a,0x30a8e38fbd9e778ddac2a4a02cd8129bb50bba8a,15776,0x0000000000000000000000000000000000000000,4378,2021-09-05T17:07:15
2,0x818b1ba570a5eed91041af6d63c617173140bff657dd2eb9d0e3893ae397686c,0x0653965a5e8298852ca4297c799969b6f12672fc,15775,0x0000000000000000000000000000000000000000,13483,2021-09-05T17:07:12
3,0xaa060958cdc18d53538f9938f601f294fc4a1f277ef1e457b5aab2bbcd7f100a,0x0653965a5e8298852ca4297c799969b6f12672fc,15774,0x0000000000000000000000000000000000000000,5634,2021-09-05T17:07:12
4,0x9b7bcdf90ada5897e257f8cbf0212e69ec967b67f21a9672f15ae27905270c60,0x904c6428c1d2611363dcaca5084662c5b5139483,15773,0x0000000000000000000000000000000000000000,5189,2021-09-05T17:07:12
5,0x9b7bcdf90ada5897e257f8cbf0212e69ec967b67f21a9672f15ae27905270c60,0x904c6428c1d2611363dcaca5084662c5b5139483,15772,0x0000000000000000000000000000000000000000,8482,2021-09-05T17:07:12
6,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15771,0x0000000000000000000000000000000000000000,8785,2021-09-05T17:07:12
7,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15770,0x0000000000000000000000000000000000000000,10792,2021-09-05T17:07:12
8,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15769,0x0000000000000000000000000000000000000000,7708,2021-09-05T17:07:12
9,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15768,0x0000000000000000000000000000000000000000,10986,2021-09-05T17:07:12
10,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15767,0x0000000000000000000000000000000000000000,14870,2021-09-05T17:07:12
11,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15766,0x0000000000000000000000000000000000000000,4488,2021-09-05T17:07:12
12,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15765,0x0000000000000000000000000000000000000000,2672,2021-09-05T17:07:12
13,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15764,0x0000000000000000000000000000000000000000,13054,2021-09-05T17:07:12
14,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15763,0x0000000000000000000000000000000000000000,12635,2021-09-05T17:07:12
15,0x8ccb21bd22d56e083d6c690e1a03074a6d6a85913cce0283bcc1b54435d48316,0x4d2fb20b25e39cc6db1e673acbb8c6c467b7c594,15762,0x0000000000000000000000000000000000000000,13872,2021-09-05T17:07:12
16,0x762fb7dca52e5b26b26b48a5e3dcad4529b847f8eb1f4506f86e63c43c530560,0xf8d0a4542b1277d8a330e69cc56bdc109029c623,15761,0x0000000000000000000000000000000000000000,11633,2021-09-05T17:07:12
17,0x762fb7dca52e5b26b26b48a5e3dcad4529b847f8eb1f4506f86e63c43c530560,0xf8d0a4542b1277d8a330e69cc56bdc109029c623,15760,0x0000000000000000000000000000000000000000,3633,2021-09-05T17:07:12
18,0xa8625dae4e8f48b9b0d69492d030fdf094e06fd614a9e2d8ef28a2180b7b11aa,0x71d423eebc4963f4e58f2c5601c4fb67d3717087,15759,0x0000000000000000000000000000000000000000,7173,2021-09-05T17:07:12
19,0xa8625dae4e8f48b9b0d69492d030fdf094e06fd614a9e2d8ef28a2180b7b11aa,0x71d423eebc4963f4e58f2c5601c4fb67d3717087,15758,0x0000000000000000000000000000000000000000,7036,2021-09-05T17:07:12
20,0x3f243f540ed49a7b3d8da5abb8489c4a67fd0ff7930aae7f87ccfd2494d4280d,0x741902764dc3af99f522a9f089b610bff4267b00,15757,0x0000000000000000000000000000000000000000,10849,2021-09-05T17:07:12
21,0x3f243f540ed49a7b3d8da5abb8489c4a67fd0ff7930aae7f87ccfd2494d4280d,0x741902764dc3af99f522a9f089b610bff4267b00,15756,0x0000000000000000000000000000000000000000,546,2021-09-05T17:07:12
22,0x3f243f540ed49a7b3d8da5abb8489c4a67fd0ff7930aae7f87ccfd2494d4280d,0x741902764dc3af99f522a9f089b610bff4267b00,15755,0x0000000000000000000000000000000000000000,10760,2021-09-05T17:07:12
23,0xc6164ed46bc78c2a7d6f0182859ff1a5df068641fc0325b18a6d10616b14be06,0xdb93f35cc855bf1847d612a62f92096e5bdc3959,15754,0x0000000000000000000000000000000000000000,11650,2021-09-05T17:07:12
24,0xc6164ed46bc78c2a7d6f0182859ff1a5df068641fc0325b18a6d10616b14be06,0xdb93f35cc855bf1847d612a62f92096e5bdc3959,15753,0x0000000000000000000000000000000000000000,11860,2021-09-05T17:07:12
25,0xc6164ed46bc78c2a7d6f0182859ff1a5df068641fc0325b18a6d10616b14be06,0xdb93f35cc855bf1847d612a62f92096e5bdc3959,15752,0x0000000000000000000000000000000000000000,3796,2021-09-05T17:07:12
26,0xc6164ed46bc78c2a7d6f0182859ff1a5df068641fc0325b18a6d10616b14be06,0xdb93f35cc855bf1847d612a62f92096e5bdc3959,15751,0x0000000000000000000000000000000000000000,8236,2021-09-05T17:07:12
27,0x17baa45b33fc6a8aeef96121107973f3982cb507ba0b5f49fb496d3c3f17915a,0x601e7f8e1ebc17057684e72714afd978a4cec5e1,15750,0x0000000000000000000000000000000000000000,6586,2021-09-05T17:07:12
28,0x17baa45b33fc6a8aeef96121107973f3982cb507ba0b5f49fb496d3c3f17915a,0x601e7f8e1ebc17057684e72714afd978a4cec5e1,15749,0x0000000000000000000000000000000000000000,6742,2021-09-05T17:07:12
29,0x7ebb03999e9335998d558bed82119dd09f712821718cbb1b15e94d356bdbe90a,0x2ccc5e98e7ce96321752beb10eb3f8b8af5efcf7,15748,0x0000000000000000000000000000000000000000,5542,2021-09-05T17:07:12
30,0xfdbf12feb05ce356da814ea07cd676e629e25681c2840d3c45d6e47b47afbfe2,0x35c3ccbbfcd78f2b3581260c5464a74e58d27049,15747,0x0000000000000000000000000000000000000000,10301,2021-09-05T17:06:51
31,0xab80fa699249dfc431cd070972e80644ecc7c01aca32cfde3346c1fc1d080154,0x1f468fbc152b5a04e46a6a7a13d93d5b174bbc96,15746,0x0000000000000000000000000000000000000000,14301,2021-09-05T17:06:51
32,0xab80fa699249dfc431cd070972e80644ecc7c01aca32cfde3346c1fc1d080154,0x1f468fbc152b5a04e46a6a7a13d93d5b174bbc96,15745,0x0000000000000000000000000000000000000000,11527,2021-09-05T17:06:51
33,0xab80fa699249dfc431cd070972e80644ecc7c01aca32cfde3346c1fc1d080154,0x1f468fbc152b5a04e46a6a7a13d93d5b174bbc96,15744,0x0000000000000000000000000000000000000000,640,2021-09-05T17:06:51
34,0xab80fa699249dfc431cd070972e80644ecc7c01aca32cfde3346c1fc1d080154,0x1f468fbc152b5a04e46a6a7a13d93d5b174bbc96,15743,0x0000000000000000000000000000000000000000,9997,2021-09-05T17:06:51
35,0xab80fa699249dfc431cd070972e80644ecc7c01aca32cfde3346c1fc1d080154,0x1f468fbc152b5a04e46a6a7a13d93d5b174bbc96,15742,0x0000000000000000000000000000000000000000,2162,2021-09-05T17:06:51
36,0xd93b6bccef83257d0b76cf6e97ecc0484fb87c7eb09eae78985e7dd704b25d8b,0xb850ea57cbac1234c83c7783514e8cf6afa50ff0,15741,0x0000000000000000000000000000000000000000,1728,2021-09-05T17:06:51
37,0xd93b6bccef83257d0b76cf6e97ecc0484fb87c7eb09eae78985e7dd704b25d8b,0xb850ea57cbac1234c83c7783514e8cf6afa50ff0,15740,0x0000000000000000000000000000000000000000,13833,2021-09-05T17:06:51
