,txid,to_account,TOKEN_ID,current_owner,rank,time
8210,0x950976770d73ef15366219c21bdfd46cdc0034db92f1c22712e7df6f8db5e3b6,0xc8cfac3f1e083d0ffa978ee82b7a5c4bec7b51a7,0,0xc8cfac3f1e083d0ffa978ee82b7a5c4bec7b51a7,8385,2021-09-03T14:02:11
8221,0x950976770d73ef15366219c21bdfd46cdc0034db92f1c22712e7df6f8db5e3b6,0xc8cfac3f1e083d0ffa978ee82b7a5c4bec7b51a7,1,0xfb052326fa77709900de033201c5422d67d9114d,5985,2021-09-03T14:02:11
8315,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,2,0x02e655665795a09a2e4bfe110e0af8be11340172,6349,2021-09-03T14:02:11
8158,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,3,0x5091555760dba6af5bdceebe74b023452c053576,338,2021-09-03T14:02:11
8175,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,4,0x31bb2e79ef3974035c5922bb919357415b0e1ffa,3070,2021-09-03T14:02:11
8287,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,5,0xdd4eb4398789e930484de1aec2c5bc210f5a657b,66,2021-09-03T14:02:11
8291,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,6,0xfd8daa56a3f13ead5a20f73144ce7db1552f3ec3,8381,2021-09-03T14:02:11
8207,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,7,0x525d0ab3ff1e876f6a63fa9907d8401b7a26fa11,8803,2021-09-03T14:02:11
8216,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,8,0xd41a5311c20ccececd6198640997714421349d6b,2376,2021-09-03T14:02:11
8229,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,9,0xdc6297cff4f3691608c062fe2ee8f3416dd50e0b,786,2021-09-03T14:02:11
8236,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,10,0xce63bc163321827864792463723c985edc0c3516,2341,2021-09-03T14:02:11
8243,0x26cbc4885386a7466ba39a5112f7e11055edda125e23f973fa9781a2f46dd6de,0xd41a5311c20ccececd6198640997714421349d6b,11,0xcb8968bd598ad69af959ee4fca39aa2bb1fd5aa5,9293,2021-09-03T14:02:11
8126,0x23854c3b0e546ca3924b81fc3ef50c2f86c59a0d1a229821572760b43a7d2c5f,0x338a0d53fbd5a9733d8718923e4f6c3d7bda5431,12,0x338a0d53fbd5a9733d8718923e4f6c3d7bda5431,7773,2021-09-03T14:02:11
8318,0x846b40b489543cae2e4111d174dd91b5009a5437de2446f7eb5ec8b804ebbf1c,0x8cf20ad2f631989f5981c7f4356a37c355085f87,13,0x34bc7cebd612dd4a7687de1562479878fdae334e,1925,2021-09-03T14:02:11
