,txid,to_account,TOKEN_ID,current_owner,rank,time
0,0x378f53a7043851c244e1f7789cf66570bf9f66f8dd152a8403c42b4be3fd81a0,0x26dfdf16d00af98f2c8c26b6ba8b68f1e78b170b,3899,0x0000000000000000000000000000000000000000,2113,2022-01-10T21:47:33
1,0xb53bfa72aa610883132b1a805d0210ac4885f5439298e26cc607d66ca122dc1b,0xda961758dd38468ff7d639f550f89ce09d189322,3898,0x0000000000000000000000000000000000000000,1567,2022-01-10T21:47:12
2,0xcf6e5d1600c1f0c0f5a3c0010439e3767d29db3be9dd38d8d0a1f0d34afdac52,0x1684d3607364c1f63edc0133c6fee5ef5f164f13,3897,0x0000000000000000000000000000000000000000,1778,2022-01-10T21:47:12
3,0xcf6e5d1600c1f0c0f5a3c0010439e3767d29db3be9dd38d8d0a1f0d34afdac52,0x1684d3607364c1f63edc0133c6fee5ef5f164f13,3896,0x0000000000000000000000000000000000000000,2781,2022-01-10T21:47:12
4,0xcf6e5d1600c1f0c0f5a3c0010439e3767d29db3be9dd38d8d0a1f0d34afdac52,0x1684d3607364c1f63edc0133c6fee5ef5f164f13,3895,0x0000000000000000000000000000000000000000,3758,2022-01-10T21:47:12
5,0x547675696b8641686e3a7c431f78d65a1fffbcd5cc3e90004613c75d54687708,0x1406e601f7e05b29664171e32fa30676f4131d61,3894,0x0000000000000000000000000000000000000000,2709,2022-01-10T21:46:43
6,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3893,0x0000000000000000000000000000000000000000,1376,2022-01-10T21:46:28
7,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3892,0x0000000000000000000000000000000000000000,3569,2022-01-10T21:46:28
8,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3891,0x0000000000000000000000000000000000000000,6,2022-01-10T21:46:28
9,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3890,0x0000000000000000000000000000000000000000,1818,2022-01-10T21:46:28
10,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3889,0x0000000000000000000000000000000000000000,1860,2022-01-10T21:46:28
11,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3888,0x0000000000000000000000000000000000000000,2847,2022-01-10T21:46:28
12,0x5dfc4b3615d1a9fa42465d15b126d64966524051f0ff4f77fe9e377ac6f9a237,0x5be7215e8f890872ef925bae7ea60bcf0b7bf656,3887,0x0000000000000000000000000000000000000000,2906,2022-01-10T21:46:28
